site_number,site_name,site_type,last_update,sea_state,trend,wind_wave_dir,confidence,heel_angle,light_status,temperature,latitude,longitude
8659,Kelloniemi_2,FLOATING,2022-04-17T17:31:39Z,CALM,NO_CHANGE,187.0,GOOD,2.9,OFF,10,63.06555,21.75745
11337,Hankon.p.ylem,FIXED,2025-03-03T11:00:50Z,,,,GOOD,,OFF,8,59.8238,22.91963
11639,Hankon.p.alem,FIXED,2025-03-03T11:00:47Z,,,,GOOD,,OFF,10,59.82199,22.92278
20169,Hattukari,FLOATING,2023-08-28T09:31:32Z,CALM,NO_CHANGE,143.0,GOOD,0.2,OFF,15,60.7877,21.36418
20243,Kipsi,FLOATING,2021-10-18T14:01:27Z,CALM,NO_CHANGE,310.0,GOOD,3.7,OFF,10,60.78513,21.35563
20244,Talla,FLOATING,2025-03-03T11:01:35Z,LIGHT,ASCENDING,262.0,GOOD,4.4,OFF,10,60.78445,21.35648
20245,Nuhja,FLOATING,2025-03-03T11:01:32Z,CALM,NO_CHANGE,190.0,GOOD,6.5,OFF,10,60.78703,21.36516
20249,Koivisto,FLOATING,2025-03-03T11:01:33Z,CALM,NO_CHANGE,200.0,GOOD,2.7,OFF,10,60.78331,21.32732
81731,Rauma_1,FLOATING,2022-11-01T15:01:57Z,LIGHT,NO_CHANGE,332.0,GOOD,13.5,OFF,18,61.10891,21.24504
84482,Rihtniemi_aalto,FLOATING,2025-03-03T11:01:52Z,MODERATE,NO_CHANGE,195.0,GOOD,4.8,OFF,6,61.08284,21.27202
