site_number,site_name,site_type,last_update,sea_state,trend,wind_wave_dir,confidence,heel_angle,light_status,temperature,latitude,longitude
8659,Kelloniemi_2,FLOATING,2022-04-17T17:31:39Z,CALM,NO_CHANGE,187.0,GOOD,2.9,OFF,10,63.06555,21.75745
11337,Hankon.p.ylem,FIXED,2025-02-27T09:00:53Z,,,,GOOD,,OFF,6,59.82381,22.91962
11639,Hankon.p.alem,FIXED,2025-02-27T09:00:46Z,,,,GOOD,,OFF,6,59.822,22.92278
20169,Hattukari,FLOATING,2023-08-28T09:31:32Z,CALM,NO_CHANGE,143.0,GOOD,0.2,OFF,15,60.7877,21.36418
20243,Kipsi,FLOATING,2021-10-18T14:01:27Z,CALM,NO_CHANGE,310.0,GOOD,3.7,OFF,10,60.78513,21.35563
20244,Talla,FLOATING,2025-02-27T09:01:36Z,CALM,NO_CHANGE,202.0,GOOD,4.1,OFF,4,60.78447,21.35648
20245,Nuhja,FLOATING,2025-02-27T09:01:36Z,CALM,NO_CHANGE,158.0,GOOD,6.7,OFF,4,60.78702,21.36514
20249,Koivisto,FLOATING,2025-02-27T09:01:33Z,CALM,NO_CHANGE,167.0,GOOD,2.2,OFF,3,60.78333,21.3273
81731,Rauma_1,FLOATING,2022-11-01T15:01:57Z,LIGHT,NO_CHANGE,332.0,GOOD,13.5,OFF,18,61.10891,21.24504
84482,Rihtniemi_aalto,FLOATING,2025-02-27T09:01:33Z,MODERATE,ASCENDING,170.0,GOOD,2.3,OFF,4,61.08286,21.272
